Student_ID,Age,Gender,Year_of_Study,Average_Screen_Time_per_Day,Main_Purpose_of_Use,Number_of_Social_Media_Apps,Daily_Social_Media_Usage_Hours,Mobile_Usage_Before_Sleep,Sleep_Hours_Per_Night,Academic_Performance_CGPA,Anxiety_Level,Stress_Level,Participation_in_Physical_Activities,Feelings_of_Loneliness,Family_Background,Hostel_or_Day_Scholar,Has_Smartphone_Since,Expenditure_on_Mobile_Per_Month,Attempts_to_Reduce_Usage,Self_Reported_Addiction_Level,Favorite_App,Average_YouTube_Watch_Time_Per_Day,Gaming_Hours_Per_Week,TikTok_Reels_Usage_Hours_Per_Day,Daily_Number_of_Mobile_Unlocks,Notifications_Received_Per_Day,FOMO_Level,Self_Control_Rating_Out_of_10,Parental_Restrictions,Previous_Attempts_to_Quit_Social_Media,Mindfulness_Practice,Physical_Exercise_Hours_Per_Week,Relationship_Status,Part_Time_Job,Average_Data_Consumption_Per_Day_GB,Preferred_Screen_Brightness_Percentage,Preferred_Device_Brand,Peer_Pressure_Experience,Depression_Symptoms,Hours_Spent_on_Online_Shopping_Per_Week,Involvement_in_Student_Organizations,Daily_Whatsapp_Messages_Sent,Screen_Time_on_Weekends,Screen_Time_on_Weekdays,Usage_of_Productivity_Apps,Time_Spent_on_Educational_Content_Per_Week,Average_Battery_Consumption_Per_Day_Percentage,Participates_in_Digital_Detox_Camps,Uses_Screen_Time_Management_Apps
S0001,24,Female,4th,4.6,Social Media,8,3.3,107,6.9,6.32,Moderate,High,Yes,Never,Urban,Day Scholar,2,1977,No,None,YouTube,1.1,4.5,1.7,58,68,High,8.9,Yes,Yes,No,2.1,Complicated,Yes,3.74,25,Xiaomi,Always,Mild,0.6,No,167,9.6,5.3,No,2.2,58,Yes,No
S0002,21,Other,1st,5.6,Social Media,8,2.7,119,7.1,7.24,High,High,No,Sometimes,Rural,Hostel,9,726,No,Severe,YouTube,1.9,1.4,1.0,148,189,High,9.3,Yes,No,Yes,3.0,In a Relationship,Yes,1.57,94,Apple,Rarely,Mild,3.0,No,46,6.3,5.4,No,4.0,31,Yes,Yes
S0003,22,Male,1st,7.3,Entertainment,9,4.3,107,6.4,7.69,Moderate,Moderate,No,Never,Rural,Day Scholar,4,778,Yes,Mild,Facebook,1.9,5.6,1.1,39,141,Moderate,1.2,No,No,No,3.0,In a Relationship,No,3.67,79,Apple,Never,Moderate,3.0,Yes,313,10.6,5.6,No,1.4,93,No,Yes
S0004,24,Male,1st,7.1,Study,6,3.2,86,6.4,8.32,Moderate,Moderate,Yes,Never,Rural,Day Scholar,8,1558,Yes,None,YouTube,1.9,8.1,0.3,98,188,Moderate,9.9,No,No,Yes,2.3,Complicated,Yes,3.59,46,Apple,Rarely,None,3.6,No,425,6.9,7.3,No,0.0,65,Yes,No
S0005,20,Male,2nd,7.2,Entertainment,6,4.0,112,6.9,8.92,High,High,No,Never,Rural,Day Scholar,5,876,No,Severe,Instagram,2.4,4.4,0.8,104,97,Low,7.4,No,No,Yes,2.2,Single,Yes,4.24,74,Other,Never,Severe,2.9,Yes,335,7.5,7.6,No,5.0,49,Yes,No
S0006,25,Male,4th,4.3,Study,2,4.1,115,6.3,6.97,High,Low,Yes,Never,Urban,Day Scholar,4,1350,No,None,YouTube,1.5,5.8,0.9,97,150,High,5.7,No,Yes,Yes,3.1,In a Relationship,No,1.56,50,Other,Always,None,2.9,Yes,44,7.0,4.9,No,1.5,84,Yes,Yes
S0007,22,Male,1st,5.6,Gaming,4,1.9,118,7.9,8.23,Low,Moderate,No,Often,Rural,Hostel,7,762,Yes,Mild,Instagram,1.7,5.8,0.6,78,269,Moderate,4.5,No,Yes,No,0.7,Complicated,Yes,4.13,49,Xiaomi,Always,Moderate,1.3,No,489,9.3,6.0,No,4.9,66,No,No
S0008,22,Male,4th,5.4,Study,5,2.3,67,7.3,5.75,Low,Moderate,Yes,Sometimes,Rural,Day Scholar,4,367,No,Severe,Facebook,1.0,1.4,1.0,87,148,Moderate,5.7,No,Yes,No,4.5,In a Relationship,No,5.0,86,Apple,Often,None,2.7,Yes,469,7.0,5.4,No,2.6,81,Yes,No
S0009,24,Male,2nd,6.6,Entertainment,4,3.5,87,7.4,9.66,Moderate,Moderate,Yes,Often,Urban,Day Scholar,3,215,Yes,Mild,YouTube,2.6,11.2,0.8,64,285,Moderate,3.9,No,Yes,Yes,0.0,In a Relationship,No,4.4,32,Apple,Never,None,4.1,No,333,7.8,6.6,Yes,5.8,98,No,Yes
S0010,19,Female,1st,6.5,Entertainment,4,2.6,84,5.5,6.92,Moderate,Low,Yes,Never,Rural,Day Scholar,2,1723,Yes,Severe,YouTube,1.3,3.6,1.0,79,256,Low,6.6,Yes,No,Yes,4.2,Single,Yes,4.01,78,Xiaomi,Rarely,None,1.4,Yes,425,4.6,5.9,No,9.4,99,No,Yes
